Rank,Name,State,Early_Career_Pay,Mid_Career_Pay,Make_World_Better_Percent,Stem_Percent,University_Name_Clean
22,Merrimack College,Massachusetts,56000,102500,50,13,Merrimack College
23,Clark University,Massachusetts,52600,101400,47,14,Clark University
24,Smith College,Massachusetts,52700,98200,51,26,Smith College
25,Wheaton College (Massachusetts),Massachusetts,52600,97500,46,28,Wheaton College (Massachusetts)
1,Kettering University,Michigan,69900,125000,44,74,Kettering University
2,Michigan Technological University,Michigan,65000,116300,47,81,Michigan Technological University
3,University of Michigan-Ann Arbor,Michigan,63500,112200,45,38,University Michigan Ann Arbor
4,Lawrence Technological University,Michigan,57900,108400,49,60,Lawrence Technological University
5,Michigan State University,Michigan,55300,100800,46,20,Michigan State University
6,University of Michigan-Dearborn,Michigan,55700,99500,39,37,University Michigan Dearborn
7,Albion College,Michigan,52100,99300,44,23,Albion College
8,Kalamazoo College,Michigan,51600,94500,52,31,Kalamazoo College
9,Oakland University,Michigan,51300,93300,49,19,Oakland University
10,University of Detroit Mercy,Michigan,51800,92800,57,13,University Detroit Mercy
11,Western Michigan University,Michigan,50900,92200,47,16,Western Michigan University
12,Wayne State University,Michigan,50800,91700,53,21,Wayne State University
13,Calvin College,Michigan,50200,91100,54,23,Calvin College
14,Hope College,Michigan,49200,90900,51,18,Hope College
15,Alma College,Michigan,48400,89900,52,15,Alma College
16,College for Creative Studies,Michigan,51200,89800,40,0,College for Creative Studies
17,Ferris State University,Michigan,50000,89300,50,8,Ferris State University
18,Eastern Michigan University,Michigan,47300,86700,50,6,Eastern Michigan University
19,Northwood University,Michigan,47800,86300,47,1,Northwood University
20,Walsh College of Accountancy and Business Administration,Michigan,49400,85200,42,5,Walsh College Accountancy and Business Administration
21,Andrews University,Michigan,47600,85000,51,7,Andrews University
22,Cleary University,Michigan,47400,84700,50,0,Cleary University
23,Central Michigan University,Michigan,47700,83600,46,13,Central Michigan University
24,Lake Superior State University,Michigan,45900,83500,48,14,Lake Superior State University
25,Saginaw Valley State University,Michigan,46400,82200,54,12,Saginaw Valley State University
1,Carleton College,Minnesota,58800,109900,47,45,Carleton College
2,Saint Johns University,Minnesota,59400,108400,45,25,Saint Johns University
3,University of St Thomas (Minnesota),Minnesota,57500,106400,50,20,University St Thomas (Minnesota)
4,University of Minnesota-Twin Cities,Minnesota,57200,104000,51,30,University Minnesota Twin Cities
5,St Olaf College,Minnesota,54100,101900,46,30,St Olaf College
6,Macalester College,Minnesota,53600,100400,51,31,Macalester College
7,Gustavus Adolphus College,Minnesota,51200,96800,47,22,Gustavus Adolphus College
8,Dunwoody College of Technology,Minnesota,53400,96600,55,24,Dunwoody College Technology
9,University of Minnesota-Duluth,Minnesota,53200,95700,48,30,University Minnesota Duluth
10,Saint Mary's University of Minnesota,Minnesota,53000,93700,53,5,Saint Mary's University Minnesota
11,Saint Cloud State University,Minnesota,51600,91600,50,15,Saint Cloud State University
12,Augsburg University,Minnesota,50500,91000,52,11,Augsburg University
13,Minnesota State University-Mankato,Minnesota,51600,90900,54,13,Minnesota State University Mankato
14,Hamline University,Minnesota,48100,90400,52,5,Hamline University
15,College of Saint Benedict,Minnesota,49100,88600,50,18,College Saint Benedict
16,Concordia University-Saint Paul,Minnesota,49200,86800,58,5,Concordia University Saint Paul
16,Winona State University,Minnesota,49700,86800,51,10,Winona State University
16,The College of Saint Scholastica,Minnesota,51200,86800,64,12,College Saint Scholastica
19,University of Minnesota-Crookston,Minnesota,49200,86400,54,4,University Minnesota Crookston
20,Metropolitan State University,Minnesota,50200,85900,53,11,Metropolitan State University
21,Bethel University (Minnesota),Minnesota,51000,85700,65,9,Bethel University (Minnesota)
22,University of Minnesota-Morris,Minnesota,46100,85300,53,27,University Minnesota Morris
23,Concordia College at Moorhead,Minnesota,46800,85200,63,21,Concordia College Moorhead
24,Minneapolis College of Art and Design,Minnesota,47400,84700,39,0,Minneapolis College Art and Design
25,St Catherine University,Minnesota,48800,82600,65,2,St Catherine University
1,Mississippi State University,Mississippi,51100,94100,57,27,Mississippi State University
2,University of Mississippi,Mississippi,48500,89100,55,12,University Mississippi
3,Millsaps College,Mississippi,49300,88700,56,24,Millsaps College
4,University of Southern Mississippi,Mississippi,45100,83900,56,11,University Southern Mississippi
5,Mississippi College,Mississippi,45200,79500,57,20,Mississippi College
6,Jackson State University,Mississippi,41700,74600,67,16,Jackson State University
7,Belhaven University,Mississippi,41200,74300,60,2,Belhaven University
8,Delta State University,Mississippi,40800,74200,63,5,Delta State University
9,William Carey University,Mississippi,41100,71800,61,6,William Carey University
10,Alcorn State University,Mississippi,40900,69500,67,19,Alcorn State University
10,Mississippi University for Women,Mississippi,39500,69500,63,2,Mississippi University for Women
12,Tougaloo College,Mississippi,36900,66400,69,18,Tougaloo College
13,Rust College,Mississippi,34800,62400,76,32,Rust College
14,Mississippi Valley State University,Mississippi,32500,61900,70,11,Mississippi Valley State University
1,Missouri University of Science and Technology,Missouri,67300,122600,50,80,Missouri University Science and Technology
2,Washington University in St Louis,Missouri,64800,114900,42,30,Washington University St Louis
3,University of Missouri-Columbia,Missouri,52300,98600,49,17,University Missouri Columbia
4,Saint Louis University,Missouri,54200,95300,56,13,Saint Louis University
5,Barnes-Jewish College Goldfarb School of Nursing,Missouri,55000,95200,83,0,Barnes Jewish College Goldfarb School Nursing
6,William Jewell College,Missouri,51400,94500,60,12,William Jewell College
7,Rockhurst University,Missouri,54000,92500,59,11,Rockhurst University
8,Westminster College (Missouri),Missouri,49400,91600,52,25,Westminster College (Missouri)
9,University of Missouri-Kansas City,Missouri,50800,89600,55,24,University Missouri Kansas City
10,University of Missouri-St Louis,Missouri,48700,87500,51,13,University Missouri St Louis
11,Missouri State University-Springfield,Missouri,45900,86800,50,9,Missouri State University Springfield
12,Truman State University,Missouri,47900,85800,48,16,Truman State University
13,Northwest Missouri State University,Missouri,46900,85100,50,26,Northwest Missouri State University
14,Park University,Missouri,48500,85000,56,7,Park University
15,Webster University,Missouri,46500,83500,50,2,Webster University
16,University of Central Missouri,Missouri,46900,83300,54,45,University Central Missouri
17,Avila University,Missouri,45900,81200,68,3,Avila University
18,Maryville University of Saint Louis,Missouri,46800,80100,53,2,Maryville University Saint Louis
19,Drury University,Missouri,42600,79400,60,12,Drury University
20,Southeast Missouri State University,Missouri,43700,79100,52,9,Southeast Missouri State University
21,Lindenwood University,Missouri,45100,78500,48,9,Lindenwood University
22,Kansas City Art Institute,Missouri,42500,77700,37,0,Kansas City Art Institute
22,Missouri Western State University,Missouri,43400,77700,53,14,Missouri Western State University
24,Stephens College,Missouri,42800,77200,47,6,Stephens College
25,Columbia College (Missouri),Missouri,44100,76600,52,2,Columbia College (Missouri)
1,Montana Tech of the University of Montana,Montana,61200,112600,64,61,Montana Tech University Montana
2,Montana State University,Montana,53700,96200,54,31,Montana State University
3,Carroll College,Montana,48200,91400,55,25,Carroll College
4,The University of Montana,Montana,46500,87800,51,8,University Montana
5,Rocky Mountain College,Montana,46000,82900,59,12,Rocky Mountain College
6,University of Providence,Montana,44700,81900,69,16,University Providence
7,Montana State University-Billings,Montana,43300,77700,59,5,Montana State University Billings
8,Montana State University-Northern,Montana,43400,75400,63,1,Montana State University Northern
9,The University of Montana-Western,Montana,35400,63700,63,4,University Montana Western
1,University of Nebraska-Lincoln,Nebraska,51500,96700,53,20,University Nebraska Lincoln
2,Creighton University,Nebraska,53500,95800,56,9,Creighton University
3,University of Nebraska Medical Center,Nebraska,53400,93000,79,6,University Nebraska Medical Center
4,Clarkson College,Nebraska,50900,91500,74,0,Clarkson College
5,Nebraska Methodist College of Nursing & Allied Health,Nebraska,51300,89800,84,0,Nebraska Methodist College Nursing & Allied Health
6,University of Nebraska at Omaha,Nebraska,49400,89500,52,18,University Nebraska Omaha
7,Union College (Nebraska),Nebraska,49100,87800,55,9,Union College (Nebraska)
8,Hastings College,Nebraska,48600,87100,55,14,Hastings College
9,Doane University-Arts & Sciences,Nebraska,47300,85300,51,21,Doane University Arts & Sciences
10,Bellevue University,Nebraska,49400,84800,57,23,Bellevue University
11,University of Nebraska at Kearney,Nebraska,44300,80800,52,8,University Nebraska Kearney
12,Nebraska Wesleyan University,Nebraska,45700,80500,60,8,Nebraska Wesleyan University
13,Midland University,Nebraska,43800,78100,60,7,Midland University
14,College of Saint Mary,Nebraska,43900,77700,45,9,College Saint Mary
15,Doane University-Graduate and Professional Studies,Nebraska,43200,77000,54,0,Doane University Graduate and Professional Studies
16,Chadron State College,Nebraska,42300,76700,66,3,Chadron State College
17,Peru State College,Nebraska,42600,74800,50,6,Peru State College
18,Wayne State College,Nebraska,40600,73400,54,11,Wayne State College
19,Concordia University-Nebraska,Nebraska,39700,68900,48,5,Concordia University Nebraska
1,Sierra Nevada College,Nevada,54000,95500,39,2,Sierra Nevada College
2,University of Nevada-Reno,Nevada,52700,95000,47,24,University Nevada Reno
3,University of Nevada-Las Vegas,Nevada,50400,90400,46,12,University Nevada Las Vegas
1,Dartmouth College,New Hampshire,71500,130900,44,35,Dartmouth College
2,Saint Anselm College,New Hampshire,56400,100300,59,11,Saint Anselm College
2,University of New Hampshire-Main Campus,New Hampshire,54300,100300,50,23,University New Hampshire
4,University of New Hampshire at Manchester,New Hampshire,51900,90900,50,32,University New Hampshire Manchester
5,Thomas More College of Liberal Arts,New Hampshire,48900,88300,,0,Thomas More College Liberal Arts
6,New England College,New Hampshire,45700,86400,43,24,New England College
7,Franklin Pierce University,New Hampshire,47800,85600,52,3,Franklin Pierce University
8,Rivier University,New Hampshire,49500,85100,58,41,Rivier University
9,Colby-Sawyer College,New Hampshire,46400,83700,43,7,Colby Sawyer College
10,Keene State College,New Hampshire,48900,83600,49,8,Keene State College
11,Southern New Hampshire University,New Hampshire,47400,83400,49,8,Southern New Hampshire University
12,Plymouth State University,New Hampshire,47000,82200,50,6,Plymouth State University
13,Granite State College,New Hampshire,43500,76900,67,3,Granite State College
1,Stevens Institute of Technology,New Jersey,75100,139900,47,79,Stevens Institute Technology
2,Princeton University,New Jersey,75200,139400,48,48,Princeton University
3,New Jersey Institute of Technology,New Jersey,64600,121300,51,75,New Jersey Institute Technology
4,Rutgers University-New Brunswick,New Jersey,59800,111000,42,29,Rutgers University New Brunswick
5,Seton Hall University,New Jersey,57100,103800,45,8,Seton Hall University
6,Rutgers University-Newark,New Jersey,57900,101800,52,11,Rutgers University Newark
6,The College of New Jersey,New Jersey,58200,101800,44,16,College New Jersey
8,Rider University,New Jersey,51600,99000,47,5,Rider University
9,Fairleigh Dickinson University-Florham Campus,New Jersey,53700,98500,42,6,Fairleigh Dickinson University Florham
11,Felician University,New Jersey,53200,98200,51,10,Felician University
12,Saint Peter's University,New Jersey,52900,95900,35,14,Saint Peter's University
13,Thomas Edison State University,New Jersey,52500,95600,54,0,Thomas Edison State University
14,Montclair State University,New Jersey,50800,95400,42,9,Montclair State University
15,Ramapo College of New Jersey,New Jersey,51600,95200,41,12,Ramapo College New Jersey
16,Drew University,New Jersey,52800,95000,37,16,Drew University
17,Rutgers University-Camden,New Jersey,51100,93900,50,9,Rutgers University Camden
18,Monmouth University,New Jersey,52200,93200,44,13,Monmouth University
19,Fairleigh Dickinson University-Metropolitan Campus,New Jersey,50800,93000,43,23,Fairleigh Dickinson University Metropolitan
20,Rowan University,New Jersey,51100,91200,43,21,Rowan University
21,William Paterson University of New Jersey,New Jersey,50500,90200,44,7,William Paterson University New Jersey
22,Kean University,New Jersey,48200,90000,51,10,Kean University
23,Bloomfield College,New Jersey,48400,89100,55,17,Bloomfield College
24,New Jersey City University,New Jersey,48700,87600,55,9,New Jersey City University
25,Stockton University,New Jersey,47400,85800,49,16,Stockton University
1,New Mexico Institute of Mining and Technology,New Mexico,64700,120400,61,91,New Mexico Institute Mining and Technology
2,New Mexico State University-Main Campus,New Mexico,50400,96700,60,22,New Mexico State University
3,University of New Mexico-Main Campus,New Mexico,48400,94000,59,19,University New Mexico
4,Eastern New Mexico University-Main Campus,New Mexico,44500,80500,61,5,Eastern New Mexico University
5,Western New Mexico University,New Mexico,41700,76700,75,4,Western New Mexico University
6,New Mexico Highlands University,New Mexico,40400,73800,63,4,New Mexico Highlands University
1,Albany College of Pharmacy and Health Sciences,New York,81000,144800,82,2,Albany College Pharmacy and Health Sciences
2,United States Military Academy,New York,80200,144000,61,39,United States Military Academy
3,Webb Institute,New York,80800,141800,,100,Webb Institute
4,United States Merchant Marine Academy,New York,80600,140700,62,56,United States Merchant Marine Academy
4,SUNY Maritime College,New York,74900,140700,53,32,SUNY Maritime College
6,Rensselaer Polytechnic Institute,New York,71300,134100,49,78,Rensselaer Polytechnic Institute
7,Colgate University,New York,68400,130600,41,26,Colgate University
8,Clarkson University,New York,66400,130100,58,58,Clarkson University
9,Cornell University,New York,70100,128200,45,43,Cornell University
10,Columbia University in the City of New York,New York,71400,126800,45,30,Columbia University City New York
11,Cooper Union for the Advancement of Science and Art,New York,68500,126200,46,56,Cooper Union for Advancement Science and Art
12,Manhattan College,New York,64000,125700,46,40,Manhattan College
13,New York University,New York,63100,117700,42,18,New York University
14,Union College (New York),New York,63300,117500,50,47,Union College (New York)
15,Yeshiva University,New York,63500,112800,40,11,Yeshiva University
16,University of Rochester,New York,61100,112700,50,32,University Rochester
17,Fordham University,New York,58700,112500,38,10,Fordham University
18,Hofstra University,New York,57300,110400,38,7,Hofstra University
19,Barnard College,New York,59200,109800,57,19,Barnard College
20,Binghamton University,New York,61300,109600,44,34,Binghamton University
21,SUNY Downstate Medical Center,New York,64000,109300,83,0,SUNY Downstate Medical Center
22,Hobart William Smith Colleges,New York,56500,108500,46,18,Hobart William Smith Colleges
23,Hamilton College,New York,62600,108100,45,25,Hamilton College
24,Pace University-New York,New York,59800,107800,40,14,Pace University New York
24,Stony Brook University,New York,59200,107800,49,35,Stony Brook University
1,Duke University,North Carolina,71100,132100,50,26,Duke University
2,Wake Forest University,North Carolina,60700,114800,44,13,Wake Forest University
3,Davidson College,North Carolina,57300,106900,50,28,Davidson College
4,North Carolina State University at Raleigh,North Carolina,57300,106500,52,47,North Carolina State University Raleigh
5,University of North Carolina at Chapel Hill,North Carolina,55000,100800,49,19,University North Carolina Chapel Hill
6,Elon University,North Carolina,53600,93700,43,7,Elon University
7,North Carolina A & T State University,North Carolina,52600,93400,61,25,North Carolina A & T State University
8,University of North Carolina at Charlotte,North Carolina,52500,92600,49,25,University North Carolina Charlotte
9,Queens University of Charlotte,North Carolina,49400,86600,48,9,Queens University Charlotte
10,Lenoir-Rhyne University,North Carolina,46400,86300,54,7,Lenoir Rhyne University
11,East Carolina University,North Carolina,48400,85400,55,11,East Carolina University
12,High Point University,North Carolina,48600,84300,50,8,High Point University
13,Johnson C Smith University,North Carolina,45700,83300,57,16,Johnson C Smith University
14,Belmont Abbey College,North Carolina,46700,82900,49,7,Belmont Abbey College
15,Appalachian State University,North Carolina,46600,82700,47,9,Appalachian State University
16,Campbell University,North Carolina,46300,82400,56,8,Campbell University
16,University of North Carolina School of the Arts,North Carolina,46400,82400,44,0,University North Carolina School Arts
18,John Wesley University,North Carolina,45100,82100,,0,John Wesley University
19,University of North Carolina Wilmington,North Carolina,46400,80500,47,14,University North Carolina Wilmington
19,Methodist University,North Carolina,45800,80500,58,9,Methodist University
21,North Carolina Wesleyan College,North Carolina,45300,78800,62,8,North Carolina Wesleyan College
22,Catawba College,North Carolina,42500,78100,58,11,Catawba College
23,Pfeiffer University,North Carolina,44200,78000,51,4,Pfeiffer University
24,Barton College,North Carolina,42400,77900,62,6,Barton College
25,Western Carolina University,North Carolina,44700,77700,58,8,Western Carolina University
1,North Dakota State University-Main Campus,North Dakota,54200,98600,56,27,North Dakota State University
2,University of North Dakota,North Dakota,53800,96000,54,16,University North Dakota
3,University of Jamestown,North Dakota,47600,85400,64,11,University Jamestown
4,Mayville State University,North Dakota,43700,81300,44,10,Mayville State University
5,Dickinson State University,North Dakota,46400,81200,55,8,Dickinson State University
6,University of Mary,North Dakota,46400,79100,64,3,University Mary
7,Minot State University,North Dakota,44500,74100,55,7,Minot State University
8,Valley City State University,North Dakota,39900,68600,56,3,Valley City State University
9,Trinity Bible College and Graduate School,North Dakota,34100,61300,,0,Trinity Bible College and Graduate School
1,Case Western Reserve University,Ohio,66600,117800,44,37,Case Western Reserve University
2,Miami University-Oxford,Ohio,57200,107300,46,22,Miami University Oxford
3,Wittenberg University,Ohio,52400,105400,61,22,Wittenberg University
4,University of Dayton,Ohio,57400,105000,44,33,University Dayton
5,Denison University,Ohio,54400,104800,45,22,Denison University
6,Ohio Northern University,Ohio,54400,103900,49,22,Ohio Northern University
7,Kenyon College,Ohio,55000,103800,50,17,Kenyon College
8,Mount Carmel College of Nursing,Ohio,56600,99700,78,0,Mount Carmel College Nursing
9,Ohio Wesleyan University,Ohio,51300,99200,46,21,Ohio Wesleyan University
10,Ohio State University-Main Campus,Ohio,55300,98600,49,27,Ohio State University
11,John Carroll University,Ohio,51600,97300,39,16,John Carroll University
11,University of Cincinnati-Main Campus,Ohio,53600,97300,50,19,University Cincinnati
13,Oberlin College,Ohio,53100,96800,47,21,Oberlin College
14,Kettering College,Ohio,54300,95800,,0,Kettering College
15,Marietta College,Ohio,51200,94300,57,45,Marietta College
16,Xavier University,Ohio,51800,94000,46,7,Xavier University
17,Ohio University-Main Campus,Ohio,51400,93300,47,9,Ohio University
18,University of Toledo,Ohio,51800,92500,52,21,University Toledo
19,The College of Wooster,Ohio,49200,91300,56,32,College Wooster
20,University of Akron Main Campus,Ohio,50700,89200,48,22,University Akron
21,Cleveland State University,Ohio,48300,88600,51,20,Cleveland State University
22,University of Mount Union,Ohio,48300,88500,41,19,University Mount Union
23,The University of Findlay,Ohio,49100,87900,53,3,University Findlay
24,Wright State University-Main Campus,Ohio,50300,87800,49,31,Wright State University
25,Bowling Green State University-Main Campus,Ohio,47200,87500,45,11,Bowling Green State University
1,University of Tulsa,Oklahoma,58700,107200,51,36,University Tulsa
2,University of Oklahoma-Health Sciences Center,Oklahoma,57100,102100,68,3,University Oklahoma Health Sciences Center
3,University of Oklahoma-Norman Campus,Oklahoma,54400,100600,52,23,University Oklahoma Norman
4,Oklahoma State University-Main Campus,Oklahoma,52800,98600,54,25,Oklahoma State University
5,Oklahoma State University Institute of Technology,Oklahoma,52600,92300,53,14,Oklahoma State University Institute Technology
6,Southwestern Oklahoma State University,Oklahoma,47900,90800,58,5,Southwestern Oklahoma State University
7,Oklahoma City University,Oklahoma,47700,87900,58,9,Oklahoma City University
7,Oklahoma Christian University,Oklahoma,49700,87900,57,41,Oklahoma Christian University
9,Oral Roberts University,Oklahoma,45900,85100,59,8,Oral Roberts University
10,University of Central Oklahoma,Oklahoma,45300,82900,56,8,University Central Oklahoma
11,Langston University,Oklahoma,46500,81500,66,8,Langston University
11,Cameron University,Oklahoma,43900,81500,54,14,Cameron University
13,Southern Nazarene University,Oklahoma,46100,81000,62,5,Southern Nazarene University
14,Southeastern Oklahoma State University,Oklahoma,45000,80500,53,15,Southeastern Oklahoma State University
15,Oklahoma Wesleyan University,Oklahoma,43300,78700,58,1,Oklahoma Wesleyan University
16,Northeastern State University,Oklahoma,44500,77600,58,7,Northeastern State University
17,East Central University,Oklahoma,44700,77500,66,9,East Central University
18,Northwestern Oklahoma State University,Oklahoma,42200,76800,55,11,Northwestern Oklahoma State University
19,Oklahoma Baptist University,Oklahoma,43900,76600,62,8,Oklahoma Baptist University
20,Oklahoma Panhandle State University,Oklahoma,42300,74400,54,10,Oklahoma Panhandle State University
21,Mid-America Christian University,Oklahoma,40700,74100,71,0,Mid America Christian University
22,Rogers State University,Oklahoma,41400,73800,48,11,Rogers State University
23,University of Science and Arts of Oklahoma,Oklahoma,37300,67400,49,11,University Science and Arts Oklahoma
1,Oregon Health & Science University,Oregon,65400,108300,79,10,Oregon Health & Science University
2,Oregon Institute of Technology,Oregon,61200,106800,60,27,Oregon Institute Technology
3,University of Portland,Oregon,58500,104900,52,28,University Portland
3,Reed College,Oregon,56100,104900,44,26,Reed College
5,Oregon State University,Oregon,56200,104800,53,34,Oregon State University
6,Willamette University,Oregon,52200,97700,49,14,Willamette University
7,University of Oregon,Oregon,51800,95800,46,13,University Oregon
8,Pacific University,Oregon,50200,94000,66,8,Pacific University
8,Linfield College-Online and Continuing Education,Oregon,50900,94000,,0,Linfield College Online and Continuing Education
10,Lewis & Clark College,Oregon,50000,93200,51,12,Lewis & Clark College
11,Linfield College-McMinnville Campus,Oregon,52100,92000,48,17,Linfield College McMinnville
12,Portland State University,Oregon,50800,90500,48,16,Portland State University
13,George Fox University,Oregon,51200,89600,52,8,George Fox University
14,Concordia University-Portland,Oregon,48000,86100,69,1,Concordia University Portland
15,Pacific Northwest College of Art,Oregon,46300,85000,,0,Pacific Northwest College Art
16,Southern Oregon University,Oregon,46000,81200,54,6,Southern Oregon University
17,Northwest Christian University,Oregon,45200,81100,62,5,Northwest Christian University
18,Warner Pacific College,Oregon,45500,80500,58,10,Warner Pacific College
19,Marylhurst University,Oregon,46200,79800,63,0,Marylhurst University
20,Western Oregon University,Oregon,44500,79300,50,5,Western Oregon University
21,Corban University,Oregon,42500,77300,63,1,Corban University
22,Multnomah University,Oregon,40500,76400,82,0,Multnomah University
23,Eastern Oregon University,Oregon,44000,73900,56,5,Eastern Oregon University
24,New Hope Christian College-Eugene,Oregon,34200,61600,,0,New Hope Christian College Eugene
1,Carnegie Mellon University,Pennsylvania,75900,136100,45,66,Carnegie Mellon University
2,Lehigh University,Pennsylvania,69500,134100,45,52,Lehigh University
3,University of Pennsylvania,Pennsylvania,72800,133900,41,21,University Pennsylvania
4,Swarthmore College,Pennsylvania,67500,123200,44,45,Swarthmore College
5,Bucknell University,Pennsylvania,66700,122900,40,40,Bucknell University
6,Lafayette College,Pennsylvania,66500,122500,37,47,Lafayette College
7,Villanova University,Pennsylvania,65100,119500,41,23,Villanova University
8,University of the Sciences,Pennsylvania,60700,115200,72,12,University Sciences
9,Drexel University,Pennsylvania,61700,114800,47,28,Drexel University
10,Haverford College,Pennsylvania,59300,112300,47,36,Haverford College
11,Franklin and Marshall College,Pennsylvania,57200,109700,42,23,Franklin and Marshall College
12,Gettysburg College,Pennsylvania,58400,109300,39,24,Gettysburg College
13,Pennsylvania State University-Main Campus,Pennsylvania,58500,105500,47,37,Pennsylvania State University
14,Saint Joseph's University,Pennsylvania,57300,105100,41,6,Saint Joseph's University
15,La Salle University,Pennsylvania,55800,104800,40,5,La Salle University
16,Thomas Jefferson University,Pennsylvania,63400,102500,83,7,Thomas Jefferson University
17,Muhlenberg College,Pennsylvania,53400,101900,43,20,Muhlenberg College
18,Ursinus College,Pennsylvania,54400,101800,42,40,Ursinus College
19,Pennsylvania State University-Penn State Harrisburg,Pennsylvania,55000,100400,47,31,Pennsylvania State University Penn State Harrisburg
19,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,55900,100400,50,27,University Pittsburgh Pittsburgh
21,Dickinson College,Pennsylvania,55800,100100,46,25,Dickinson College
21,Widener University,Pennsylvania,55700,100100,57,13,Widener University
23,University of Scranton,Pennsylvania,56400,99700,42,12,University Scranton
24,Grove City College,Pennsylvania,54400,98400,53,29,Grove City College
25,Pennsylvania State University-Penn State Erie-Behrend College,Pennsylvania,58800,97900,44,32,Pennsylvania State University Penn State Erie Behrend College
1,Brown University,Rhode Island,68200,127600,45,43,Brown University
2,Bryant University,Rhode Island,60500,108600,37,8,Bryant University
3,Providence College,Rhode Island,58900,106900,44,11,Providence College
4,Rhode Island School of Design,Rhode Island,55500,100600,39,0,Rhode Island School Design
5,University of Rhode Island,Rhode Island,54500,99700,50,18,University Rhode Island
6,Salve Regina University,Rhode Island,53000,93900,50,6,Salve Regina University
7,New England Institute of Technology,Rhode Island,51700,93200,44,14,New England Institute Technology
8,Roger Williams University,Rhode Island,52900,92700,48,12,Roger Williams University
9,Rhode Island College,Rhode Island,47200,83500,52,5,Rhode Island College
10,Johnson & Wales University-Online,Rhode Island,46200,81600,43,0,Johnson & Wales University Online
11,Johnson & Wales University-Providence,Rhode Island,46500,78900,41,5,Johnson & Wales University Providence
1,Citadel Military College of South Carolina,South Carolina,60400,108100,62,19,Citadel Military College South Carolina
2,Clemson University,South Carolina,57500,106700,50,39,Clemson University
3,Furman,South Carolina,52100,98800,48,16,Furman
4,Wofford College,South Carolina,51300,96600,51,28,Wofford College
5,Medical University of South Carolina,South Carolina,54800,92700,88,6,Medical University South Carolina
6,University of South Carolina-Columbia,South Carolina,50300,89900,52,20,University South Carolina Columbia
6,Presbyterian College,South Carolina,48800,89900,57,14,Presbyterian College
8,College of Charleston,South Carolina,47300,85100,44,20,College Charleston
9,University of South Carolina-Upstate,South Carolina,46000,81400,50,13,University South Carolina Upstate
10,South Carolina State University,South Carolina,44500,80800,71,16,South Carolina State University
11,Winthrop University,South Carolina,44300,79700,49,9,Winthrop University
12,Erskine College,South Carolina,43500,78000,57,28,Erskine College
13,Coastal Carolina University,South Carolina,44700,77600,48,14,Coastal Carolina University
13,Francis Marion University,South Carolina,42900,77600,58,18,Francis Marion University
15,Lander University,South Carolina,42600,77100,54,9,Lander University
16,Limestone College,South Carolina,42100,76500,57,10,Limestone College
17,Charleston Southern University,South Carolina,42800,76300,65,9,Charleston Southern University
18,University of South Carolina-Aiken,South Carolina,41600,75100,58,10,University South Carolina Aiken
19,Newberry College,South Carolina,41200,74700,54,14,Newberry College
20,Southern Wesleyan University,South Carolina,42900,74600,52,5,Southern Wesleyan University
21,Converse College,South Carolina,39000,71000,60,8,Converse College
22,Anderson University (South Carolina),South Carolina,39900,70100,51,5,Anderson University (South Carolina)
23,Columbia College (South Carolina),South Carolina,39200,68300,56,6,Columbia College (South Carolina)
24,Benedict College,South Carolina,38100,67500,61,19,Benedict College
25,Columbia International University,South Carolina,36600,66200,62,0,Columbia International University
1,South Dakota School of Mines and Technology,South Dakota,66500,118500,58,92,South Dakota School Mines and Technology
2,South Dakota State University,South Dakota,50500,91900,58,18,South Dakota State University
3,Augustana University,South Dakota,47900,88400,54,18,Augustana University
4,University of South Dakota,South Dakota,47500,87900,56,8,University South Dakota
5,Dakota State University,South Dakota,48400,84300,49,53,Dakota State University
6,University of Sioux Falls,South Dakota,44400,78200,64,6,University Sioux Falls
7,Northern State University,South Dakota,42300,77700,56,7,Northern State University
8,Mount Marty College,South Dakota,41400,76500,67,5,Mount Marty College
9,Dakota Wesleyan University,South Dakota,41800,75700,52,10,Dakota Wesleyan University
10,Black Hills State University,South Dakota,40400,72600,51,11,Black Hills State University
1,Vanderbilt University,Tennessee,65400,119100,48,23,Vanderbilt University
2,Sewanee-The University of the South,Tennessee,53700,97800,57,17,Sewanee University South
2,Rhodes College,Tennessee,51900,97800,46,25,Rhodes College
4,Christian Brothers University,Tennessee,51500,96500,60,14,Christian Brothers University
5,Baptist Memorial College of Health Sciences,Tennessee,55700,95700,90,4,Baptist Memorial College Health Sciences
6,Tennessee Technological University,Tennessee,53100,95100,48,28,Tennessee Technological University
6,The University of Tennessee-Knoxville,Tennessee,51200,95100,52,21,University Tennessee Knoxville
8,University of Memphis,Tennessee,47200,85800,55,12,University Memphis
9,Lipscomb University,Tennessee,49000,84800,59,12,Lipscomb University
10,Southern Adventist University,Tennessee,47500,84000,67,9,Southern Adventist University
11,Fisk University,Tennessee,45300,83600,53,39,Fisk University
12,Union University,Tennessee,46400,83000,59,6,Union University
13,The University of Tennessee-Chattanooga,Tennessee,46000,82300,56,17,University Tennessee Chattanooga
14,Trevecca Nazarene University,Tennessee,45300,81700,65,5,Trevecca Nazarene University
15,Middle Tennessee State University,Tennessee,46500,81100,52,9,Middle Tennessee State University
16,Cumberland University,Tennessee,45500,81000,61,3,Cumberland University
17,Belmont University,Tennessee,47300,80900,47,3,Belmont University
